title,movie_id
Jason Bourne(2016),tt4196776
Grown Ups(2010),tt1375670
The Waterboy(1998),tt0120484
Ice Age: Continental Drift(2012),tt1667889
Straight Outta Compton(2015),tt1398426
How to Train Your Dragon: The Hidden World(2019),tt2386490
Die Another Day(2002),tt0246460
Shark Tale(2004),tt0307453
The Heat(2013),tt2404463
Fantastic Beasts: The Crimes of Grindelwald(2018),tt4123430
Halloween(2018),tt1502407
1917(2019),tt8579674
The Secret Life of Pets 2(2019),tt5113040
Star Trek Beyond(2016),tt2660888
The Longest Yard(2005),tt0398165
X-Men(2000),tt0120903
The Mummy(1999),tt0120616
Scary Movie(2000),tt0175142
What Lies Beneath(2000),tt0161081
X-Men: Apocalypse(2016),tt3385516
Snow White and the Huntsman(2012),tt1735898
San Andreas(2015),tt2126355
Fast & Furious(2009),tt1013752
Fantastic Four(2005),tt0120667
Horton Hears a Who!(2008),tt0451079
Mad Max: Fury Road(2015),tt1392190
Trolls(2016),tt1679335
Jerry Maguire(1996),tt0116695
Scooby-Doo(2002),tt0267913
Sex and the City(2008),tt1000774
Runaway Bride(1999),tt0163187
La La Land(2016),tt3783958
Divergent(2014),tt1840309
We're the Millers(2013),tt1723121
Terminator 3: Rise of the Machines(2003),tt0181852
G.I. Joe: The Rise of Cobra(2009),tt1046173
Neighbors(2014),tt2004420
American Hustle(2013),tt1800241
Puss in Boots(2011),tt0448694
Les Misérables(2012),tt1707386
Sonic the Hedgehog(2020),tt3794354
Knocked Up(2007),tt0478311
As Good as It Gets(1997),tt0119822
Little Fockers(2010),tt0970866
Hotel Transylvania(2012),tt0837562
Megamind(2010),tt1001526
Talladega Nights: The Ballad of Ricky Bobby(2006),tt0415306
Gran Torino(2008),tt1205489
War for the Planet of the Apes(2017),tt3450958
X-Men: First Class(2011),tt1270798
Paul Blart: Mall Cop(2009),tt1114740
Lilo & Stitch(2002),tt0275847
The Meg(2018),tt4779682
American Pie 2(2001),tt0252866
Taken(2008),tt0936501
The Great Gatsby(2013),tt1343092
"I, Robot(2004)",tt0343818
The Fast and the Furious(2001),tt0232500
Mamma Mia!(2008),tt0795421
Pokémon: Detective Pikachu(2019),tt5884052
Rio(2011),tt1436562
Kung Fu Panda 3(2016),tt2267968
Juno(2007),tt0467406
The Smurfs(2011),tt0472181
Once Upon a Time... in Hollywood(2019),tt7131622
xXx(2002),tt0295701
The Chronicles of Narnia: Prince Caspian(2008),tt0499448
Slumdog Millionaire(2008),tt1010048
Rush Hour(1998),tt0120812
Shazam!(2019),tt0448115
Ocean's Eight(2018),tt5164214
Rush Hour 3(2007),tt0293564
Stuart Little(1999),tt0164912
Taken 2(2012),tt1397280
The Matrix Revolutions(2003),tt0242653
The Santa Clause 2(2002),tt0304669
The King's Speech(2010),tt1504320
Cheaper by the Dozen(2003),tt0349205
Bad Boys II(2003),tt0172156
21 Jump Street(2012),tt1232829
Split(2016),tt4972582
A Christmas Carol(2009),tt1067106
Dinosaur(2000),tt0130623
Ready Player One(2018),tt1677720
The Conjuring(2013),tt1457767
Click(2006),tt0389860
The Green Mile(1999),tt0120689
Godzilla(1998),tt0120685
Argo(2012),tt1024648
Anger Management(2003),tt0305224
Chicken Little(2005),tt0371606
Patch Adams(1998),tt0129290
Ride Along(2014),tt1408253
The Incredible Hulk(2008),tt0800080
Live Free or Die Hard(2007),tt0337978
Wanted(2008),tt0493464
Identity Thief(2013),tt2024432
The Rock(1996),tt0117500
Mission: Impossible III(2006),tt0317919
Grown Ups 2(2013),tt2191701
Troy(2004),tt0332452
Angels & Demons(2009),tt0808151
Alvin and the Chipmunks: Chipwrecked(2011),tt1615918
Bringing Down the House(2003),tt0305669
The Wolverine(2013),tt1430132
The Departed(2006),tt0407887
Hulk(2003),tt0286716
Silver Linings Playbook(2012),tt1045658
Minority Report(2002),tt0181689
Fantastic Four: Rise of the Silver Surfer(2007),tt0486576
The Last Airbender(2010),tt0938283
Rio 2(2014),tt2357291
Lara Croft: Tomb Raider(2001),tt0146316
Lethal Weapon 4(1998),tt0122151
Get Smart(2008),tt0425061
The Divergent Series: Insurgent(2015),tt2908446
The Peanuts Movie(2015),tt2452042
Transformers: The Last Knight(2017),tt3371366
American Gangster(2007),tt0765429
American Beauty(1999),tt0169547
The Ring(2002),tt0298130
The Nutty Professor(1996),tt0117218
"Crouching Tiger, Hidden Dragon(2000)",tt0190332
Borat(2006),tt0443453
Ghostbusters(2016),tt1289401
Kingsman: The Secret Service(2014),tt2802144
